version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
<<<<<<< HEAD
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,baseline,Đo hành vi chưa tối ưu trước khi sửa,case_accuracy,,0.70,runs/v0_B_base_openrouter_20260729T101838010434.json
v1,team,system_prompt.md,v1+pcb1d5811366a+t6cdb53d5d7b8,cb1d5811366a,6cdb53d5d7b8,Prompt v0 bắt agent đoán bừa và cấm hỏi lại,Nếu thay quy tắc đoán bừa bằng 3 rule (thiếu info→clarify; send→xác nhận yes_no; out-of-scope→không gọi tool) thì fix được 5-6 case fail,case_accuracy,0.70,0.95,runs/v1_B_base_openrouter_20260729T103429673566.json
v2,team,tools.yaml,v2+pcb1d5811366a+t384d9f80d128,cb1d5811366a,384d9f80d128,R11 fail vì model bỏ trống response_type khi gọi clarify,Nếu làm response_type thành required + mô tả rõ quy ước từng tool thì fix R11; kết quả: R11 PASS nhưng lộ 2 regression multi-turn mới (M03 handle mapping; M06 gọi tool thừa khi user đổi ý),case_accuracy,0.95,0.90,runs/v2_B_base_openrouter_20260729T104218600288.json
v3,team,system_prompt.md + tools.yaml (wiki),v3+pa6014fe88e80+tacadfdf55c94,a6014fe88e80,acadfdf55c94,M03 dùng display name thay handle thật; M06 gọi tool cho cả turn cũ đã bị user bỏ; thêm tool mới wiki,Nếu thêm map tên→handle + rule chỉ trả lời turn cuối và tôn trọng đổi ý thì fix M03 M06 mà không regress; thêm declaration wiki không đổi routing base,case_accuracy,0.90,1.00,runs/v3_B_base_openrouter_20260729T105946127962.json
=======
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,initial baseline,eval initial prompt and tools declaration,case_accuracy,0.0,0.65,runs/v0_B_base_openrouter_20260729T101450130122.json
v1,team,system_prompt.md,v1+p106046661d99+t6cdb53d5d7b8,106046661d99d1fa34c9c4dbbc4fc09ac2a1b9426f4f227b47ac841961a5bba6,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,prompt optimization for clarify and boundaries,add explicit rules for missing handle/URL boundary confirmation and out-of-scope refusal,case_accuracy,0.65,0.95,runs/v1_B_base_openrouter_20260729T102416628536.json
v2,team,tools.yaml+crypto_price,v2+pd2ce119f315c+t25855f7a5b6e,d2ce119f315c15e8c33543d8c11993bf4fa55c91ecbe2ea99d0eecad94ae79d5,25855f7a5b6eb060fc184a568a0a9ed6d6a50bc78d10b7f8fc95d36e2f1be0e6,add crypto_price tool and refine tool descriptions,improved descriptions for lookup/social_search and added custom crypto_price tool,case_accuracy,0.95,0.95,runs/v2_B_base_openrouter_20260729T103516211320.json
v3,team,system_prompt.md,v3+p1c3d0d574cdb+t25855f7a5b6e,1c3d0d574cdb3f11e9e30a597db8311a2bdffceca32f913d80362f6b57951239,25855f7a5b6eb060fc184a568a0a9ed6d6a50bc78d10b7f8fc95d36e2f1be0e6,strict context switching rule for M06,add explicit context switching constraint to prevent duplicate tool calls when user drops a source,case_accuracy,0.95,1.0,runs/v3_B_base_openrouter_20260729T104203579559.json
>>>>>>> 5fdec78f2576879a16eea036b082eb6d9b60bd50
